Order ID;Customer;Employee;Order Date;Required Date;Shipped Date;Ship Via;Freight;Ship Name;Ship Address;Ship City;Ship Region;Ship Postal Code;Ship Country
10302;Suprêmes délices;Peacock, Margaret;11-Oct-94;08-Nov-94;09-Nov-94;United Package;Rp6;Suprêmes délices;Boulevard Tirou, 255;Charleroi;;B-6000;Belgium
10303;Godos Cocina Típica;King, Robert;12-Oct-94;09-Nov-94;19-Oct-94;United Package;Rp108;Godos Cocina Típica;C/ Romero, 33;Sevilla;;41101;Spain
10304;Tortuga Restaurante;Davolio, Nancy;13-Oct-94;10-Nov-94;18-Oct-94;United Package;Rp64;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;05033;Mexico
10305;Old World Delicatessen;Callahan, Laura;14-Oct-94;11-Nov-94;09-Nov-94;Federal Shipping;Rp258;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;USA
10306;Romero y tomillo;Davolio, Nancy;17-Oct-94;14-Nov-94;24-Oct-94;Federal Shipping;Rp8;Romero y tomillo;Gran Vía, 1;Madrid;;28001;Spain
10307;Lonesome Pine Restaurant;Fuller, Andrew;18-Oct-94;15-Nov-94;26-Oct-94;United Package;Rp1;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;USA
10308;Ana Trujillo Emparedados y helados;King, Robert;19-Oct-94;16-Nov-94;25-Oct-94;Federal Shipping;Rp2;Ana Trujillo Emparedados y helados;Avda. de la Constitución 2222;México D.F.;;05021;Mexico
10309;Hungry Owl All-Night Grocers;Leverling, Janet;20-Oct-94;17-Nov-94;23-Nov-94;Speedy Express;Rp47;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland
10310;The Big Cheese;Callahan, Laura;21-Oct-94;18-Nov-94;28-Oct-94;United Package;Rp18;The Big Cheese;"89 Jefferson Way
Suite 2";Portland;OR;97201;USA
10311;Du monde entier;Davolio, Nancy;21-Oct-94;04-Nov-94;27-Oct-94;Federal Shipping;Rp25;Du monde entier;67, rue des Cinquante Otages;Nantes;;44000;France
10312;Die Wandernde Kuh;Fuller, Andrew;24-Oct-94;21-Nov-94;03-Nov-94;United Package;Rp40;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Germany
10313;QUICK-Stop;Fuller, Andrew;25-Oct-94;22-Nov-94;04-Nov-94;United Package;Rp2;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Germany
10314;Rattlesnake Canyon Grocery;Davolio, Nancy;26-Oct-94;23-Nov-94;04-Nov-94;United Package;Rp74;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10315;Island Trading;Peacock, Margaret;27-Oct-94;24-Nov-94;03-Nov-94;United Package;Rp42;Island Trading;"Garden House
Crowther Way";Cowes;Isle of Wight;PO31 7PJ;UK
10316;Rattlesnake Canyon Grocery;Davolio, Nancy;28-Oct-94;25-Nov-94;08-Nov-94;Federal Shipping;Rp150;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10317;Lonesome Pine Restaurant;Suyama, Michael;31-Oct-94;28-Nov-94;10-Nov-94;Speedy Express;Rp13;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;USA
10318;Island Trading;Callahan, Laura;01-Nov-94;29-Nov-94;04-Nov-94;United Package;Rp5;Island Trading;"Garden House
Crowther Way";Cowes;Isle of Wight;PO31 7PJ;UK
10319;Tortuga Restaurante;King, Robert;02-Nov-94;30-Nov-94;11-Nov-94;Federal Shipping;Rp65;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;05033;Mexico
10320;Wartian Herkku;Buchanan, Steven;03-Nov-94;17-Nov-94;18-Nov-94;Federal Shipping;Rp35;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland
10321;Island Trading;Leverling, Janet;03-Nov-94;01-Dec-94;11-Nov-94;United Package;Rp3;Island Trading;"Garden House
Crowther Way";Cowes;Isle of Wight;PO31 7PJ;UK
10322;Pericles Comidas clásicas;King, Robert;04-Nov-94;02-Dec-94;23-Nov-94;Federal Shipping;Rp0;Pericles Comidas clásicas;Calle Dr. Jorge Cash 321;México D.F.;;05033;Mexico
10323;Königlich Essen;Peacock, Margaret;07-Nov-94;05-Dec-94;14-Nov-94;Speedy Express;Rp5;Königlich Essen;Maubelstr. 90;Brandenburg;;14776;Germany
10324;Save-a-lot Markets;Dodsworth, Anne;08-Nov-94;06-Dec-94;10-Nov-94;Speedy Express;Rp214;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;USA
10325;Königlich Essen;Davolio, Nancy;09-Nov-94;23-Nov-94;14-Nov-94;Federal Shipping;Rp65;Königlich Essen;Maubelstr. 90;Brandenburg;;14776;Germany
10326;Bólido Comidas preparadas;Peacock, Margaret;10-Nov-94;08-Dec-94;14-Nov-94;United Package;Rp78;Bólido Comidas preparadas;C/ Araquil, 67;Madrid;;28023;Spain
10327;Folk och fä HB;Fuller, Andrew;11-Nov-94;09-Dec-94;14-Nov-94;Speedy Express;Rp63;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Sweden
10328;Furia Bacalhau e Frutos do Mar;Peacock, Margaret;14-Nov-94;12-Dec-94;17-Nov-94;Federal Shipping;Rp87;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal
10329;Split Rail Beer & Ale;Peacock, Margaret;15-Nov-94;27-Dec-94;23-Nov-94;United Package;Rp192;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
10330;LILA-Supermercado;Leverling, Janet;16-Nov-94;14-Dec-94;28-Nov-94;Speedy Express;Rp13;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10331;Bon app';Dodsworth, Anne;16-Nov-94;28-Dec-94;21-Nov-94;Speedy Express;Rp10;Bon app';12, rue des Bouchers;Marseille;;13008;France
10332;Mère Paillarde;Leverling, Janet;17-Nov-94;29-Dec-94;21-Nov-94;United Package;Rp53;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canada
10333;Wartian Herkku;Buchanan, Steven;18-Nov-94;16-Dec-94;25-Nov-94;Federal Shipping;Rp1;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland
10334;Victuailles en stock;Callahan, Laura;21-Nov-94;19-Dec-94;28-Nov-94;United Package;Rp9;Victuailles en stock;2, rue du Commerce;Lyon;;69004;France
10335;Hungry Owl All-Night Grocers;King, Robert;22-Nov-94;20-Dec-94;24-Nov-94;United Package;Rp42;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland
10336;Princesa Isabel Vinhos;King, Robert;23-Nov-94;21-Dec-94;25-Nov-94;United Package;Rp16;Princesa Isabel Vinhos;Estrada da saúde n. 58;Lisboa;;1756;Portugal
10337;Frankenversand;Peacock, Margaret;24-Nov-94;22-Dec-94;29-Nov-94;Federal Shipping;Rp108;Frankenversand;Berliner Platz 43;München;;80805;Germany
10338;Old World Delicatessen;Peacock, Margaret;25-Nov-94;23-Dec-94;29-Nov-94;Federal Shipping;Rp84;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;USA
10339;Mère Paillarde;Fuller, Andrew;28-Nov-94;26-Dec-94;05-Dec-94;United Package;Rp16;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canada
10340;Bon app';Davolio, Nancy;29-Nov-94;27-Dec-94;09-Dec-94;Federal Shipping;Rp166;Bon app';12, rue des Bouchers;Marseille;;13008;France
10341;Simons bistro;King, Robert;29-Nov-94;27-Dec-94;06-Dec-94;Federal Shipping;Rp27;Simons bistro;Vinbæltet 34;København;;1734;Denmark
10342;Frankenversand;Peacock, Margaret;30-Nov-94;14-Dec-94;05-Dec-94;United Package;Rp55;Frankenversand;Berliner Platz 43;München;;80805;Germany
10343;Lehmanns Marktstand;Peacock, Margaret;01-Dec-94;29-Dec-94;07-Dec-94;Speedy Express;Rp110;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany
10344;White Clover Markets;Peacock, Margaret;02-Dec-94;30-Dec-94;06-Dec-94;United Package;Rp23;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;USA
10345;QUICK-Stop;Fuller, Andrew;05-Dec-94;02-Jan-95;12-Dec-94;United Package;Rp249;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Germany
10346;Rattlesnake Canyon Grocery;Leverling, Janet;06-Dec-94;17-Jan-95;09-Dec-94;Federal Shipping;Rp142;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10347;Familia Arquibaldo;Peacock, Margaret;07-Dec-94;04-Jan-95;09-Dec-94;Federal Shipping;Rp3;Familia Arquibaldo;Rua Orós, 92;São Paulo;SP;05442-030;Brazil
10348;Die Wandernde Kuh;Peacock, Margaret;08-Dec-94;05-Jan-95;16-Dec-94;United Package;Rp1;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Germany
10349;Split Rail Beer & Ale;King, Robert;09-Dec-94;06-Jan-95;16-Dec-94;Speedy Express;Rp9;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
10350;La maison d'Asie;Suyama, Michael;12-Dec-94;09-Jan-95;03-Jan-95;United Package;Rp64;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;France
10351;Ernst Handel;Davolio, Nancy;12-Dec-94;09-Jan-95;21-Dec-94;Speedy Express;Rp162;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
10352;Furia Bacalhau e Frutos do Mar;Leverling, Janet;13-Dec-94;27-Dec-94;19-Dec-94;Federal Shipping;Rp1;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal
10353;Piccolo und mehr;King, Robert;14-Dec-94;11-Jan-95;26-Dec-94;Federal Shipping;Rp361;Piccolo und mehr;Geislweg 14;Salzburg;;5020;Austria
10354;Pericles Comidas clásicas;Callahan, Laura;15-Dec-94;12-Jan-95;21-Dec-94;Federal Shipping;Rp54;Pericles Comidas clásicas;Calle Dr. Jorge Cash 321;México D.F.;;05033;Mexico
10355;Around the Horn;Suyama, Michael;16-Dec-94;13-Jan-95;21-Dec-94;Speedy Express;Rp42;Around the Horn;"Brook Farm
Stratford St. Mary";Colchester;Essex;CO7 6JX;UK
10356;Die Wandernde Kuh;Suyama, Michael;19-Dec-94;16-Jan-95;28-Dec-94;United Package;Rp37;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Germany
10357;LILA-Supermercado;Davolio, Nancy;20-Dec-94;17-Jan-95;02-Jan-95;Federal Shipping;Rp35;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10358;La maison d'Asie;Buchanan, Steven;21-Dec-94;18-Jan-95;28-Dec-94;Speedy Express;Rp20;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;France
10359;Seven Seas Imports;Buchanan, Steven;22-Dec-94;19-Jan-95;27-Dec-94;Federal Shipping;Rp288;Seven Seas Imports;90 Wadhurst Rd.;London;;OX15 4NB;UK
10360;Blondel père et fils;Peacock, Margaret;23-Dec-94;20-Jan-95;02-Jan-95;Federal Shipping;Rp132;Blondel père et fils;24, place Kléber;Strasbourg;;67000;France
10361;QUICK-Stop;Davolio, Nancy;23-Dec-94;20-Jan-95;03-Jan-95;United Package;Rp183;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Germany
10362;Bon app';Leverling, Janet;26-Dec-94;23-Jan-95;29-Dec-94;Speedy Express;Rp96;Bon app';12, rue des Bouchers;Marseille;;13008;France
10363;Drachenblut Delikatessen;Peacock, Margaret;27-Dec-94;24-Jan-95;04-Jan-95;Federal Shipping;Rp31;Drachenblut Delikatessen;Walserweg 21;Aachen;;52066;Germany
10364;Eastern Connection;Davolio, Nancy;27-Dec-94;07-Feb-95;04-Jan-95;Speedy Express;Rp72;Eastern Connection;35 King George;London;;WX3 6FW;UK
10365;Antonio Moreno Taquería;Leverling, Janet;28-Dec-94;25-Jan-95;02-Jan-95;United Package;Rp22;Antonio Moreno Taquería;Mataderos  2312;México D.F.;;05023;Mexico
10366;Galería del gastrónomo;Callahan, Laura;29-Dec-94;09-Feb-95;30-Jan-95;United Package;Rp10;Galería del gastronómo;Rambla de Cataluña, 23;Barcelona;;8022;Spain
10367;Vaffeljernet;King, Robert;29-Dec-94;26-Jan-95;02-Jan-95;Federal Shipping;Rp14;Vaffeljernet;Smagsløget 45;Århus;;8200;Denmark
10368;Ernst Handel;Fuller, Andrew;30-Dec-94;27-Jan-95;02-Jan-95;United Package;Rp102;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
10369;Split Rail Beer & Ale;Callahan, Laura;02-Jan-95;30-Jan-95;09-Jan-95;United Package;Rp196;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
10370;Chop-suey Chinese;Suyama, Michael;03-Jan-95;31-Jan-95;27-Jan-95;United Package;Rp1;Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Switzerland
10371;La maison d'Asie;Davolio, Nancy;03-Jan-95;31-Jan-95;24-Jan-95;Speedy Express;Rp0;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;France
10372;Queen Cozinha;Buchanan, Steven;04-Jan-95;01-Feb-95;09-Jan-95;United Package;Rp891;Queen Cozinha;Alameda dos Canàrios, 891;São Paulo;SP;05487-020;Brazil
10373;Hungry Owl All-Night Grocers;Peacock, Margaret;05-Jan-95;02-Feb-95;11-Jan-95;Federal Shipping;Rp124;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland
10374;Wolski  Zajazd;Davolio, Nancy;05-Jan-95;02-Feb-95;09-Jan-95;Federal Shipping;Rp4;Wolski Zajazd;ul. Filtrowa 68;Warszawa;;01-012;Poland
10375;Hungry Coyote Import Store;Leverling, Janet;06-Jan-95;03-Feb-95;09-Jan-95;United Package;Rp20;Hungry Coyote Import Store;"City Center Plaza
516 Main St.";Elgin;OR;97827;USA
10376;Mère Paillarde;Davolio, Nancy;09-Jan-95;06-Feb-95;13-Jan-95;United Package;Rp20;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canada
10377;Seven Seas Imports;Davolio, Nancy;09-Jan-95;06-Feb-95;13-Jan-95;Federal Shipping;Rp22;Seven Seas Imports;90 Wadhurst Rd.;London;;OX15 4NB;UK
10378;Folk och fä HB;Buchanan, Steven;10-Jan-95;07-Feb-95;19-Jan-95;Federal Shipping;Rp5;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Sweden
10379;Que Delícia;Fuller, Andrew;11-Jan-95;08-Feb-95;13-Jan-95;Speedy Express;Rp45;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brazil
10380;Hungry Owl All-Night Grocers;Callahan, Laura;12-Jan-95;09-Feb-95;16-Feb-95;Federal Shipping;Rp35;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland
10381;LILA-Supermercado;Leverling, Janet;12-Jan-95;09-Feb-95;13-Jan-95;Federal Shipping;Rp8;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10382;Ernst Handel;Peacock, Margaret;13-Jan-95;10-Feb-95;16-Jan-95;Speedy Express;Rp95;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
10383;Around the Horn;Callahan, Laura;16-Jan-95;13-Feb-95;18-Jan-95;Federal Shipping;Rp34;Around the Horn;"Brook Farm
Stratford St. Mary";Colchester;Essex;CO7 6JX;UK
10384;Berglunds snabbköp;Leverling, Janet;16-Jan-95;13-Feb-95;20-Jan-95;Federal Shipping;Rp169;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Sweden
10385;Split Rail Beer & Ale;Davolio, Nancy;17-Jan-95;14-Feb-95;23-Jan-95;United Package;Rp31;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
10386;Familia Arquibaldo;Dodsworth, Anne;18-Jan-95;01-Feb-95;25-Jan-95;Federal Shipping;Rp14;Familia Arquibaldo;Rua Orós, 92;São Paulo;SP;05442-030;Brazil
10387;Santé Gourmet;Davolio, Nancy;18-Jan-95;15-Feb-95;20-Jan-95;United Package;Rp94;Santé Gourmet;Erling Skakkes gate 78;Stavern;;4110;Norway
10388;Seven Seas Imports;Fuller, Andrew;19-Jan-95;16-Feb-95;20-Jan-95;Speedy Express;Rp35;Seven Seas Imports;90 Wadhurst Rd.;London;;OX15 4NB;UK
10389;Bottom-Dollar Markets;Peacock, Margaret;20-Jan-95;17-Feb-95;24-Jan-95;United Package;Rp47;Bottom-Dollar Markets;23 Tsawassen Blvd.;Tsawassen;BC;T2F 8M4;Canada
10390;Ernst Handel;Suyama, Michael;23-Jan-95;20-Feb-95;26-Jan-95;Speedy Express;Rp126;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
